"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"207",8,"Carson Wentz",IND,"QB27","14","4 out of 5 stars","+46"
"208",8,"Terrace Marshall Jr.",CAR,"WR79","13","5 out of 5 stars","+14"
"209",8,"Darrel Williams",KC,"RB62","12","4 out of 5 stars","-19"
"210",9,"Jason Sanders",MIA,"K5","14","4 out of 5 stars","-61"
"211",9,"Jared Goff",DET,"QB28","9","1 out of 5 stars","-4"
"212",9,"Marquez Valdes-Scantling",GB,"WR80","13","1 out of 5 stars","+96"
"213",9,"Sammy Watkins",BAL,"WR81","8","2 out of 5 stars","+13"
"214",9,"Denver Broncos",DEN,"DST12","11","2 out of 5 stars","-33"
"215",9,"Hayden Hurst",ATL,"TE27","6","2 out of 5 stars","+31"
"216",9,"Matt Prater",ARI,"K6","12","4 out of 5 stars","-12"
"217",9,"Chicago Bears",CHI,"DST13","10","2 out of 5 stars","+39"
"218",9,"Rodrigo Blankenship",IND,"K7","14","3 out of 5 stars","-59"
"219",9,"Miami Dolphins",MIA,"DST14","14","2 out of 5 stars","-3"
"220",9,"Los Angeles Chargers",LAC,"DST15","7","4 out of 5 stars","+102"
"221",9,"Chuba Hubbard",CAR,"RB63","13","2 out of 5 stars","-51"
"222",9,"Cleveland Browns",CLE,"DST16","13","3 out of 5 stars","-60"
"223",9,"Robbie Gould",SF,"K8","6","4 out of 5 stars","-37"
"224",9,"Justin Jackson",LAC,"RB64","7","4 out of 5 stars","+1"
"225",9,"Tyler Bass",BUF,"K9","7","3 out of 5 stars","-82"
"226",9,"Dawson Knox",BUF,"TE28","7","2 out of 5 stars","+73"
"227",9,"Jason Myers",SEA,"K10","9","4 out of 5 stars","+28"
"228",9,"Cam Newton",NE,"QB29","14","5 out of 5 stars","-18"
"229",9,"Ryan Succop",TB,"K11","9","2 out of 5 stars","-63"
"230",9,"Green Bay Packers",GB,"DST17","13","5 out of 5 stars","+59"
"231",9,"Tyrell Williams",DET,"WR82","9","1 out of 5 stars","+71"
"232",9,"Joshua Kelley",LAC,"RB65","7","4 out of 5 stars","+18"
"233",9,"Taysom Hill",NO,"QB30","6","3 out of 5 stars","-65"
